answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,99.0141971704,,,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,1.00035862659,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.616927759685,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,1.00025106784,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,d,0.650244082368,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,a,0.683533515366,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.550293068365,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,d,0.533572651551,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,d,0.41693921703,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.483610735533,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.633623625046,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.500235869324,,,2018_1_22_1550,60.0022097117,One_NoFb_17ms,001,YAD_10039_01,
