answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,67.548792924,,,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,None,,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.450278207511,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.616840286353,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.500251507658,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.433585464523,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.433589264175,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.38360924157,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,a,0.416889506446,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.383553123649,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,d,0.400252296816,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,d,0.333602036847,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.333535396816,,,2018_9_06_1034,60.0012451421,One_NoFb_17ms,001,YAD_10085_01,
