answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant
d,F034.png,F028.png,1.2,0,81,,,,,0,10,10,10,,,,,a,0.333589954,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.8,1,279,,,,,0,11,11,11,,,,,d,0.983591737,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F028.png,F034.png,1.4,0,257,,,,,0,12,12,12,,,,,d,0.516828852,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.6,1,119,,,,,0,13,13,13,,,,,a,0.500280296,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.2,1,198,,,,,0,14,14,14,,,,,d,0.466712321,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.6,1,79,,,,,0,15,15,15,,,,,a,0.600199744,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.6,1,114,,,,,0,16,16,16,,,,,a,0.450216082,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F028.png,F034.png,1.8,0,230,,,,,0,17,17,17,,,,,d,0.550270271,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.2,1,193,,,,,0,18,18,18,,,,,a,0.350219472,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.4,1,266,,,,,0,19,19,19,,,,,a,0.350211581,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F028.png,F034.png,1.2,0,153,,,,,0,20,20,20,,,,,d,0.466919254,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F034.png,F028.png,1.4,0,34,,,,,0,21,21,21,,,,,a,0.350336969,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.4,1,209,,,,,0,22,22,22,,,,,a,0.416895083,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.8,1,249,,,,,0,23,23,23,,,,,d,0.56690388,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.6,1,154,,,,,0,24,24,24,,,,,a,0.35019609,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.2,1,182,,,,,0,25,25,25,,,,,a,0.450262554,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.2,1,178,,,,,0,26,26,26,,,,,d,0.450259632,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.6,1,105,,,,,0,27,27,27,,,,,d,0.483528897,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F034.png,F028.png,1.4,0,146,,,,,0,28,28,28,,,,,a,0.300267786,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.8,1,85,,,,,0,29,29,29,,,,,a,0.366958887,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.4,1,176,,,,,0,30,30,30,,,,,d,0.466881258,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.2,1,1,,,,,0,31,31,31,,,,,d,0.500246391,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.2,1,94,,,,,0,32,32,32,,,,,a,0.450212575,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.8,1,40,,,,,0,33,33,33,,,,,a,0.466901718,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F034.png,F028.png,1.8,0,54,,,,,0,34,34,34,,,,,a,0.366976424,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F028.png,F034.png,1.8,0,205,,,,,0,35,35,35,,,,,d,0.450245602,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.8,1,169,,,,,0,36,36,36,,,,,a,0.450252325,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F028.png,F034.png,1.6,0,96,,,,,0,37,37,37,,,,,d,0.383681935,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.6,1,252,,,,,0,38,38,38,,,,,a,0.433587441,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.6,1,5,,,,,0,39,39,39,,,,,d,0.483603136,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
