answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,47.6662824137,,,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,d,0.917175261162,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.716814117906,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,a,0.867177847853,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.533860687439,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.55044299674,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.683798855247,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.883870639635,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,d,0.617139047459,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,d,0.917164446739,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,d,1.33385466644,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,d,0.417384388707,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.400671721778,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,d,0.400550717157,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,a,0.533864487101,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,a,0.71715228782,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,d,1.11734232937,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,a,0.517215537577,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,d,0.716857083316,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,a,0.60052400261,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,a,0.400541364143,,,2017_12_18_1502,60.0103310135,One_NoFb_17ms,001,YAD_10030,
