answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,32.9661373085,,,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,0.483572983501,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.68354632756,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.516956043416,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.400253289904,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.350243293927,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.450034138312,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.466951016199,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,a,0.466934648516,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.366947391926,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.400285732992,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.30024294319,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.616881044352,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,a,0.600252062328,,,2018_10_11_0935,59.9966681921,One_NoFb_17ms,001,YAD_10100_01,
