answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,30.4162619795,,,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,d,0.767006287253,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.56699734346,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.400228622068,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.400235636808,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.333643833006,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.300322648813,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.500209419218,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,a,0.366696703393,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.550288817306,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.46689758801,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.583562652004,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.366967940007,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,d,0.38354289382,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,a,0.366696995674,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,a,0.367079591286,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,d,0.28350919384,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,a,0.400227452945,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,d,0.366967940008,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,a,0.383530033463,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,a,0.383556338738,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,d,0.416965791743,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,a,0.383636131406,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,d,0.350214402606,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,d,0.633561088302,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,d,0.333518152248,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,d,0.36697933896,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,d,0.416900320837,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,d,0.300277929845,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,a,0.333619573697,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,a,0.38363730053,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,a,0.500144532873,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,a,0.450211567481,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,d,0.583536054448,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,d,0.350178452063,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.8,1,54,0,34,34,34,,,,,,,d,0.483649079447,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F046.png,F045.png,1.8,0,205,0,35,35,35,,,,,,,a,0.433591602421,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F046.png,F045.png,1.8,1,169,0,36,36,36,,,,,,,d,0.483589746437,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F045.png,F046.png,1.6,0,96,0,37,37,37,,,,,,,d,0.4836955521,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F045.png,F046.png,1.6,1,252,0,38,38,38,,,,,,,d,0.383564230321,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F045.png,F046.png,1.6,0,5,0,39,39,39,,,,,,,d,0.416981867189,,,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F034.png,F028.png,1.2,0,204,,,,,0,0,0,0,,,,,d,0.900253319799,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
a,F028.png,F034.png,1.8,0,216,,,,,0,1,1,1,,,,,a,0.483620143645,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
d,F028.png,F034.png,1.2,1,76,,,,,0,2,2,2,,,,,a,0.450230273455,2017_11_09_0947,60.0072435933,One_NoFb_17ms,001,YAD_10005_01,
