answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,30.6660000772,,,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,e,0.750293155192,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,b,0.583539876707,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,b,0.450269714467,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,e,0.533609088221,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,b,0.500285848233,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,e,0.483625981909,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,b,0.466984529121,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,b,0.417077415184,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,b,0.400268779176,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,e,0.533670174396,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,e,0.366960737665,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,e,0.300409540434,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,b,0.500315076068,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,e,1.05037826665,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,e,0.700395101883,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,b,0.616843241765,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,e,0.400313205488,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,b,0.567065607138,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,b,0.43360341802,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,e,0.40026819462,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,b,1.18367765672,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,e,0.35042888926,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,b,0.516949514176,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,e,0.883677598265,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,b,0.216893045997,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,b,0.6003081783,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,b,0.333652403873,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,b,0.417034157988,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,e,0.48356723396,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,e,0.500424388174,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,e,0.450297480913,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,e,0.333628144768,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,b,0.433698408486,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,b,0.400312913207,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.8,1,54,0,34,34,34,,,,,,,b,0.333624052872,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F046.png,F045.png,1.8,0,205,0,35,35,35,,,,,,,e,0.400490910728,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F046.png,F045.png,1.8,1,169,0,36,36,36,,,,,,,e,0.350292979823,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F045.png,F046.png,1.6,0,96,0,37,37,37,,,,,,,b,0.350341205753,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F045.png,F046.png,1.6,1,252,0,38,38,38,,,,,,,e,0.417030650648,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F045.png,F046.png,1.6,0,5,0,39,39,39,,,,,,,e,0.433647552052,,,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F034.png,F028.png,1.2,0,204,,,,,0,0,0,0,,,,,e,0.916949397264,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F028.png,F034.png,1.8,0,216,,,,,0,1,1,1,,,,,e,0.400268779178,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F028.png,F034.png,1.2,1,76,,,,,0,2,2,2,,,,,e,0.633735177104,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F028.png,F034.png,1.2,1,228,,,,,0,3,3,3,,,,,e,0.400363477363,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F034.png,F028.png,1.8,0,142,,,,,0,4,4,4,,,,,b,0.617050174842,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F028.png,F034.png,1.2,1,69,,,,,0,5,5,5,,,,,e,0.41700171509,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F028.png,F034.png,1.8,1,95,,,,,0,6,6,6,,,,,b,0.433777615921,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
b,F028.png,F034.png,1.8,1,140,,,,,0,7,7,7,,,,,b,0.283612303281,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
e,F034.png,F028.png,1.4,1,265,,,,,0,8,8,8,,,,,e,0.583623468314,2017_12_21_1654,59.9956512137,One_NoFb_17ms,001,YAD_10032_01,
