answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,30.6995138812,,,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,0.933640051138,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.916964645323,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.533544592734,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.466949943657,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.550211230177,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.600240370404,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.600243585504,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,a,0.633572476188,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.416865562671,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.417006148957,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.55025711804,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.517031401891,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,d,0.550082627335,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,a,0.550358246634,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,a,0.483659546153,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,None,,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,a,0.500251652411,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,d,0.466927730449,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,a,0.850281435647,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,a,0.650034518185,,,2018_7_05_1120,60.0108396679,One_NoFb_17ms,001,YAD_10082_01,
