answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,35.799171157,,,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,b,0.666925138168,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,None,,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,b,0.70020073677,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,e,0.750324136694,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,b,0.650422809878,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,b,0.500345180742,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,e,0.600365757127,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,b,0.416979209651,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,b,0.483605230154,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,e,0.56710184965,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,e,0.600324838175,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,e,0.466984236846,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,b,0.550265447207,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,e,0.516970850498,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,e,0.350255568192,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,e,0.433608386753,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,b,0.400333372701,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,b,0.333634574883,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,e,0.366991719173,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,e,0.366953430697,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,b,0.467118392611,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,e,0.316975585403,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,b,0.383699519152,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,b,0.333719627888,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,b,0.35024036972,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,b,0.36697330563,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,b,0.400303268019,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,b,0.316916252894,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,e,0.400270825136,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,e,0.467071043517,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,e,0.400374291668,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,e,0.350306132357,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,b,0.400319051041,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,b,0.350273981734,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F045.png,F046.png,1.8,1,54,0,34,34,34,,,,,,,b,0.417012237114,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
b,F046.png,F045.png,1.8,0,205,0,35,35,35,,,,,,,e,0.40029333056,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F046.png,F045.png,1.8,1,169,0,36,36,36,,,,,,,e,0.35043415027,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
e,F045.png,F046.png,1.6,0,96,0,37,37,37,,,,,,,b,0.416994115862,,,2017_12_28_1526,59.9817673678,One_NoFb_17ms,001,YAD_10036_01,
