answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
a,F034.png,F028.png,1.6,1,114,,,,,0,16,16,16,,,,,a,0.300267992297,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F028.png,F034.png,1.8,0,230,,,,,0,17,17,17,,,,,d,0.316956935634,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.2,1,193,,,,,0,18,18,18,,,,,a,0.26694183933,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.4,1,266,,,,,0,19,19,19,,,,,a,0.317075601653,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F028.png,F034.png,1.2,0,153,,,,,0,20,20,20,,,,,d,0.333610805272,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F034.png,F028.png,1.4,0,34,,,,,0,21,21,21,,,,,a,0.350203003653,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.4,1,209,,,,,0,22,22,22,,,,,d,0.466958382424,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F028.png,F034.png,1.8,1,249,,,,,0,23,23,23,,,,,d,0.300228242104,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.6,1,154,,,,,0,24,24,24,,,,,a,0.300368244622,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F034.png,F028.png,1.2,1,182,,,,,0,25,25,25,,,,,a,0.333581284907,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F028.png,F034.png,1.2,1,178,,,,,0,26,26,26,,,,,d,0.300364737252,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
