answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,35.3158979551,,,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,e,0.533657021864,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,b,0.516957405693,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,b,0.866943493253,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,b,0.41696634941,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,b,0.433618616502,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,e,0.367050467117,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,e,0.583559167077,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,e,0.633605697789,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,b,0.417007268377,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,e,0.450298357755,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,e,0.333554198354,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,e,0.383624111331,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,b,0.450337815331,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,e,0.383626449562,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,e,0.283673681741,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,e,0.383652462318,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,e,0.400371076597,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
b,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,b,0.383624988172,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,e,0.333610900343,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
e,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,e,0.3669981493,,,2017_12_28_1646,60.0027007743,One_NoFb_17ms,001,YAD_10035_01,
